script_name,file_size_bytes,role,notes
final_human_genomics_submission_package.py,25045,analysis/reproducibility script,No raw public data bundled.
phase10A_10C_reference_polish.py,61831,analysis/reproducibility script,No raw public data bundled.
phase10A_fix_reference_enhancement.py,67334,analysis/reproducibility script,No raw public data bundled.
phase10B_final_data_audit.py,35181,analysis/reproducibility script,No raw public data bundled.
phase10D_figure_assembly.py,53772,analysis/reproducibility script,No raw public data bundled.
phase10E_submission_text_package.py,30552,analysis/reproducibility script,No raw public data bundled.
phase10F_final_fillable_package.py,24264,analysis/reproducibility script,No raw public data bundled.
phase10G_simple_submission_package.py,16578,analysis/reproducibility script,No raw public data bundled.
phase10G_submission_preview_package.py,25838,analysis/reproducibility script,No raw public data bundled.
phase10H_figure_polish_v3.py,53810,analysis/reproducibility script,No raw public data bundled.
phase10H_fix2_figure_polish_v4.py,58463,analysis/reproducibility script,No raw public data bundled.
phase11_reaudit_single_panel_package.py,51825,analysis/reproducibility script,No raw public data bundled.
phase2_clinical_independence_analysis.R,32722,analysis/reproducibility script,No raw public data bundled.
phase2b_clinical_figure_fix_mutation_audit.R,22646,analysis/reproducibility script,No raw public data bundled.
phase3A_150_ml_framework.R,46099,analysis/reproducibility script,No raw public data bundled.
phase3A_fix_150_ml_framework.R,59793,analysis/reproducibility script,No raw public data bundled.
phase3A_fix_auc_diagnostic.R,2454,analysis/reproducibility script,No raw public data bundled.
phase3A_PPI_mini_update.R,58250,analysis/reproducibility script,No raw public data bundled.
phase3B_external_validation_update.R,17340,analysis/reproducibility script,No raw public data bundled.
phase3B_fix_interpretability_ML.R,33679,analysis/reproducibility script,No raw public data bundled.
phase3B_inspect_inputs.R,1101,analysis/reproducibility script,No raw public data bundled.
phase3B_PRFT_state_ML.R,45052,analysis/reproducibility script,No raw public data bundled.
phase3C_BeatAML_drug_ML.R,45185,analysis/reproducibility script,No raw public data bundled.
phase3C_mini_fix_MCC_and_recommendation.R,9480,analysis/reproducibility script,No raw public data bundled.
phase4_fix_singlecell_umap_audit.R,20900,analysis/reproducibility script,No raw public data bundled.
phase4_singlecell_validation_consolidation.R,28951,analysis/reproducibility script,No raw public data bundled.
phase4b_patient_level_robustness.R,22453,analysis/reproducibility script,No raw public data bundled.
phase5_PPI_network_analysis.R,23242,analysis/reproducibility script,No raw public data bundled.
phase6_external_validation_GSE6891_GSE14468.R,37632,analysis/reproducibility script,No raw public data bundled.
phase7_bulk_immune_myeloid_pathway_analysis.R,48223,analysis/reproducibility script,No raw public data bundled.
phase7_cleanup_bulk_immune_module.R,19274,analysis/reproducibility script,No raw public data bundled.
phase8A_AS_input_audit.R,20929,analysis/reproducibility script,No raw public data bundled.
phase9_manuscript_integration.py,46831,analysis/reproducibility script,No raw public data bundled.
phase9B_full_manuscript_package.py,58477,analysis/reproducibility script,No raw public data bundled.
phase_GA1_graphical_abstract_and_source_lock.py,30787,analysis/reproducibility script,No raw public data bundled.
