file_path,check_item,status,hit_count,risk_level,action_recommended
README.md,local_E_absolute_path,pass,0,low,no action
README.md,fake_doi,pass,0,low,no action
README.md,fake_github_url,pass,0,low,no action
README.md,overclaim_one_click_reproducibility,pass,0,low,no action
README.md,raw_public_datasets_redistributed_claim,pass,0,low,no action
README.md,clinical_treatment_recommendation_claim,pass,0,low,no action
README.md,de_novo_single_cell_claim,pass,0,low,no action
README.md,beataml_clinical_response_claim,pass,0,low,no action
README.md,repository_relative_paths,pass,0,low,no action
metadata/repository_manifest.csv,local_E_absolute_path,pass,0,low,no action
metadata/repository_manifest.csv,fake_doi,pass,0,low,no action
metadata/repository_manifest.csv,fake_github_url,pass,0,low,no action
metadata/repository_manifest.csv,overclaim_one_click_reproducibility,pass,0,low,no action
metadata/repository_manifest.csv,raw_public_datasets_redistributed_claim,pass,0,low,no action
metadata/repository_manifest.csv,clinical_treatment_recommendation_claim,pass,0,low,no action
metadata/repository_manifest.csv,de_novo_single_cell_claim,pass,0,low,no action
metadata/repository_manifest.csv,beataml_clinical_response_claim,pass,0,low,no action
metadata/repository_manifest.csv,repository_relative_paths,pass,0,low,no action
metadata/data_dictionary.csv,local_E_absolute_path,pass,0,low,no action
metadata/data_dictionary.csv,fake_doi,pass,0,low,no action
metadata/data_dictionary.csv,fake_github_url,pass,0,low,no action
metadata/data_dictionary.csv,overclaim_one_click_reproducibility,pass,0,low,no action
metadata/data_dictionary.csv,raw_public_datasets_redistributed_claim,pass,0,low,no action
metadata/data_dictionary.csv,clinical_treatment_recommendation_claim,pass,0,low,no action
metadata/data_dictionary.csv,de_novo_single_cell_claim,pass,0,low,no action
metadata/data_dictionary.csv,beataml_clinical_response_claim,pass,0,low,no action
metadata/data_dictionary.csv,repository_relative_paths,pass,0,low,no action
metadata/code_manifest.csv,local_E_absolute_path,pass,0,low,no action
metadata/code_manifest.csv,fake_doi,pass,0,low,no action
metadata/code_manifest.csv,fake_github_url,pass,0,low,no action
metadata/code_manifest.csv,overclaim_one_click_reproducibility,pass,0,low,no action
metadata/code_manifest.csv,raw_public_datasets_redistributed_claim,pass,0,low,no action
metadata/code_manifest.csv,clinical_treatment_recommendation_claim,pass,0,low,no action
metadata/code_manifest.csv,de_novo_single_cell_claim,pass,0,low,no action
metadata/code_manifest.csv,beataml_clinical_response_claim,pass,0,low,no action
metadata/code_manifest.csv,repository_relative_paths,pass,0,low,no action
metadata/final_file_manifest.csv,local_E_absolute_path,pass,0,low,no action
metadata/final_file_manifest.csv,fake_doi,pass,0,low,no action
metadata/final_file_manifest.csv,fake_github_url,pass,0,low,no action
metadata/final_file_manifest.csv,overclaim_one_click_reproducibility,pass,0,low,no action
metadata/final_file_manifest.csv,raw_public_datasets_redistributed_claim,pass,0,low,no action
metadata/final_file_manifest.csv,clinical_treatment_recommendation_claim,pass,0,low,no action
metadata/final_file_manifest.csv,de_novo_single_cell_claim,pass,0,low,no action
metadata/final_file_manifest.csv,beataml_clinical_response_claim,pass,0,low,no action
metadata/final_file_manifest.csv,repository_relative_paths,pass,0,low,no action
