risk_item,scope,status,hit_count,file_path,risk_level,action_recommended
old_acox2_coefficient,public_candidate_excluding_QA_outputs,clear,0,,low,no action
old_tcga_auc_0.697_0.642_0.647,public_candidate_excluding_QA_outputs,clear,0,,low,no action
old_tcga_auc_0.715_0.600_0.729,public_candidate_excluding_QA_outputs,clear,0,,low,no action
old_gse37642_p_1.01e-03,public_candidate_excluding_QA_outputs,clear,0,,low,no action
old_gse37642_auc_0.510_0.543_0.513,public_candidate_excluding_QA_outputs,clear,0,,low,no action
old_gse12417_p_7.57e-02,public_candidate_excluding_QA_outputs,clear,0,,low,no action
old_gse12417_auc_0.515_0.551_0.509,public_candidate_excluding_QA_outputs,clear,0,,low,no action
formula_b,public_candidate_excluding_QA_outputs,clear,0,,low,no action
supplementary_figure_s10,public_candidate_excluding_QA_outputs,clear,0,,low,no action
figure_8,public_candidate_excluding_QA_outputs,clear,0,,low,no action
126_successfully_fitted,public_candidate_excluding_QA_outputs,clear,0,,low,no action
local_absolute_windows_paths,public_candidate_excluding_QA_outputs,clear,0,,low,no action
api_key_token_credential_like_strings,public_candidate_excluding_QA_outputs,clear,0,,low,no action
old_value_numeric_coincidence_in_legal_supplementary_tables,supplementary_table_numeric_advisory_nonblocking,hit,24,supplementary_tables/Supplementary_Table_S10__phase5_consensus_hub_genes.csv; supplementary_tables/Supplementary_Table_S10_part1.csv; supplementary_tables/Supplementary_Table_S11__phase3C_BeatAML_drug_correlation_all.csv; supplementary_tables/Supplementary_Table_S11__phase3C_fix_main_vs_supplement_recommendation.csv; supplementary_tables/Supplementary_Table_S11_part1.csv; supplementary_tables/Supplementary_Table_S11_part2.csv; supplementary_tables/Supplementary_Table_S12__phase4b_patient_celltype_pseudobulk_scores.csv; supplementary_tables/Supplementary_Table_S12_part1.csv; supplementary_tables/Supplementary_Table_S13__phase7_cleanup_main_signature_pathway_summary.csv; supplementary_tables/Supplementary_Table_S13__phase7_pathway_cross_cohort_consistency.csv; supplementary_tables/Supplementary_Table_S13_part1.csv; supplementary_tables/Supplementary_Table_S13_part2.csv; supplementary_tables/Supplementary_Table_S14.csv; supplementary_tables/Supplementary_Table_S14__phase6_external_validation_interpretation.csv; supplementary_tables/Supplementary_Table_S3__phase1_DEG.csv; supplementary_tables/Supplementary_Table_S3_part1.csv; supplementary_tables/Supplementary_Table_S4.csv; supplementary_tables/Supplementary_Table_S4__phase1_fix_715_candidates.csv; supplementary_tables/Supplementary_Table_S5.csv; supplementary_tables/Supplementary_Table_S5__phase1_33_candidates.csv; supplementary_tables/Supplementary_Table_S7__phase2_univariate_clinical_cox.csv; supplementary_tables/Supplementary_Table_S7_part2.csv; supplementary_tables/Supplementary_Table_S8.csv; supplementary_tables/Supplementary_Table_S8__phase3A_fix_model_ranking_composite_score.csv,author_review_note,nonblocking; table content unchanged per instruction and no final Figure 2 context detected
