feature_type,feature_name,total_genes,available_genes,missing_genes,available_gene_list,missing_gene_list
gene_set,Proteostasis_core,22,22,0,HSPA1A;HSPA5;HSP90AA1;HSP90AB1;DNAJB1;CANX;CALR;P4HB;XBP1;ATF4;ERN1;EIF2AK3;SEL1L;SYVN1;DERL1;HERPUD1;PSMB5;PSMC4;UBE2G2;VCP;SQSTM1;LAMP2,""
gene_set,Ferroptosis_tolerance_set,15,15,0,SLC7A11;SLC3A2;GPX4;GCLC;GCLM;GSS;AIFM2;GCH1;NFE2L2;TXNRD1;FTH1;FTL;SLC40A1;DHODH;CISD1,""
gene_set,SLC7A11_GPX4_GSH_axis,9,9,0,SLC7A11;SLC3A2;GPX4;GCLC;GCLM;GSS;GSR;GLS;TXNRD1,""
gene_set,JAK2_STAT5_PDL1_set,13,13,0,JAK2;STAT5A;STAT5B;CD274;JAK1;STAT1;IRF1;IFNGR1;IFNGR2;SOCS1;SOCS3;BCL2L1;PIM1,""
gene_set,Myeloid_suppressive_set,7,7,0,S100A8;S100A9;IL10;TGFB1;ARG1;CXCL8;FCGR3A,""
gene_set,Immune_checkpoint_set,6,6,0,CD274;PDCD1LG2;VSIR;VTCN1;IDO1;LGALS9,""
gene_set,Stemness_quiescence_set,10,10,0,CD34;PROM1;MEIS1;BMI1;SOCS2;GATA2;KLF4;FOXO3;HLF;MECOM,""
gene_set,LSC17_core,17,15,2,DNMT3B;ZBTB46;NYNRIN;ARHGAP22;LAPTM4B;MMRN1;DPYSL3;CDK6;CPXM1;SOCS2;SMIM24;EMP1;AKR1C3;ADGRG1;CD34,KIAA0125;NGFRAP1
gene_set,Relapse_resistance_set,10,10,0,AKR1C3;LAPTM4B;EMP1;SOCS2;CDK6;BCL2;MCL1;ABCB1;GATA2;CXCR4,""
signature_gene,CLCN5,1,1,0,CLCN5,""
signature_gene,ARHGEF5,1,1,0,ARHGEF5,""
signature_gene,ITGB2,1,1,0,ITGB2,""
signature_gene,TRIM32,1,1,0,TRIM32,""
signature_gene,SAT1,1,1,0,SAT1,""
signature_gene,ACOX2,1,1,0,ACOX2,""
