model,term,n,events,HR,lower95,upper95,P_value,C_index,AIC,PH_global_p,PH_assumption_pass
univariate_risk_score,risk_score,151,94,3.1730828880825,1.83707648605001,5.48069451168616,3.45783129207443e-05,0.642146629006509,801.6681520132,0.155500994271871,yes
univariate_age,age,151,94,1.03574168807561,1.02007886238157,1.05164500900759,6.27166536002437e-06,0.659032297678988,797.332572906398,0.441619317586032,yes
univariate_sex,sexMALE,151,94,0.941315853653606,0.627070253044491,1.41304029658181,0.770445579468647,0.50049121945229,819.966446688899,0.560367266182787,yes
univariate_WBC_log10,WBC_log10,150,94,1.31226367000411,0.932472739746325,1.84674132144722,0.119020368982572,0.550254690023605,814.611537488299,0.875825651704525,yes
univariate_BM_blast_percent,BM_blast_percent,151,94,1.00293238858804,0.996569576218493,1.00933582569891,0.367202114592524,0.52001719268083,819.246206486753,0.666114830094307,yes
univariate_PB_blast_percent,PB_blast_percent,151,94,1.00367918463165,0.995709637881555,1.01171251872796,0.366585967578964,0.500675426746899,819.213427066041,0.820150812153183,yes
univariate_FAB_subtype,FAB_subtypeM1,151,94,1.45344019941893,0.652444767924639,3.23780420526101,0.360181480435187,0.588910720864546,818.014432187199,0.0917714015064934,yes
univariate_FAB_subtype,FAB_subtypeM2,151,94,1.28408573839625,0.564555902040669,2.92066060702324,0.550921282253231,0.588910720864546,818.014432187199,0.0917714015064934,yes
univariate_FAB_subtype,FAB_subtypeM3,151,94,0.334802563996849,0.100366939949837,1.11682947507305,0.0750433472804066,0.588910720864546,818.014432187199,0.0917714015064934,yes
univariate_FAB_subtype,FAB_subtypeM4,151,94,1.37736511453968,0.618125895964296,3.06917194561361,0.433510676197994,0.588910720864546,818.014432187199,0.0917714015064934,yes
univariate_FAB_subtype,FAB_subtypeM5,151,94,1.49431287284379,0.574360151612027,3.88775397401701,0.410312977342236,0.588910720864546,818.014432187199,0.0917714015064934,yes
univariate_FAB_subtype,FAB_subtypeM6,151,94,3.62771042547241,0.757485112542085,17.3736522516144,0.106871426789587,0.588910720864546,818.014432187199,0.0917714015064934,yes
univariate_FAB_subtype,FAB_subtypeM7,151,94,3.43859956521075,0.900063582350631,13.1368130004636,0.070918116825362,0.588910720864546,818.014432187199,0.0917714015064934,yes
univariate_FAB_subtype,FAB_subtypeNot Classified,151,94,7.02903516047022e-06,0,Inf,0.996411604353853,0.588910720864546,818.014432187199,0.0917714015064934,yes
univariate_cytogenetic_risk,cytogenetic_riskIntermediate/Normal,149,92,2.53447876341071,1.33031254245849,4.82862665513832,0.00468653594759083,0.589937666963491,789.339066015416,0.785676188936992,yes
univariate_cytogenetic_risk,cytogenetic_riskPoor,149,92,3.35091759498713,1.57791516370089,7.1161295529085,0.00164987800319929,0.589937666963491,789.339066015416,0.785676188936992,yes
univariate_FLT3_status,FLT3_statusmutated_or_positive,144,91,1.19937345916761,0.764150032664694,1.88247939941774,0.429274352142579,0.53134607672771,783.393373440872,0.255185563985231,yes
univariate_NPM1_status,NPM1_statusmutated_or_positive,148,92,1.16104725459966,0.737215518974117,1.82854361135708,0.519342169697006,0.512042018959775,798.198553441728,0.80272439141395,yes
univariate_IDH1_status,IDH1_statusmutated_or_positive,149,92,0.952469789538535,0.562068020380694,1.61403721095736,0.85639983771364,0.510701621073961,801.181505838597,0.422266814838065,yes
